Bug,Cause,SubCause,BUILTINDL,GOLEAK,LOCKDL,GOAT_M,GOAT_U,GOAT_D1,GOAT_D2,GOAT_D3
cockroach_10214,Resource Deadlock,AB-BA deadlock,- (100),- (100),DL (12),PDL-2 (1),- (100),PDL-2 (26),PDL-2 (10),PDL-2 (2)
cockroach_1055,Mixed Deadlock,Channel & WaitGroup,GDL (1),TO/GDL (1),TO/GDL (1),GDL (1),- (100),GDL (8),GDL (3),GDL (1)
cockroach_10790,Communication Deadlock,Channel & Context,- (100),PDL (1),- (100),PDL-2 (2),PDL-2 (1),PDL-2 (5),PDL-2 (6),PDL-2 (1)
cockroach_13197,Communication Deadlock,Channel & Context,- (100),PDL (1),- (100),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1)
cockroach_13755,Communication Deadlock,Channel & Context,- (100),PDL (1),- (100),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1)
cockroach_1462,Mixed Deadlock,Channel & WaitGroup,- (100),TO/GDL (35),TO/GDL (4),GDL (11),- (100),GDL (6),GDL (6),GDL (1)
cockroach_16167,Resource Deadlock,RWR deadlock,- (100),- (100),DL (1),- (100),- (100),GDL (3),GDL (3),GDL (1)
cockroach_18101,Communication Deadlock,Channel & Context,- (100),PDL (1),- (100),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1)
cockroach_2448,Communication Deadlock,Channel,- (100),PDL (1),- (100),PDL-2 (1),PDL-2 (1),PDL-2 (1),PDL-2 (1),PDL-2 (1)
cockroach_24808,Communication Deadlock,Channel,GDL (1),TO/GDL (1),TO/GDL (1),GDL (1),GDL (1),GDL (1),GDL (1),GDL (1)
cockroach_25456,Communication Deadlock,Channel,GDL (1),TO/GDL (1),TO/GDL (1),GDL (1),GDL (1),GDL (1),GDL (1),GDL (1)
cockroach_35073,Communication Deadlock,Channel,GDL (1),TO/GDL (1),TO/GDL (1),GDL (1),GDL (1),GDL (1),GDL (1),GDL (1)
cockroach_35931,Communication Deadlock,Channel,GDL (1),TO/GDL (1),TO/GDL (1),GDL (1),GDL (1),GDL (1),GDL (1),GDL (1)
cockroach_3710,Resource Deadlock,RWR deadlock,- (100),PDL (77),DL (5),PDL-2 (7),- (100),- (100),PDL-2 (15),PDL-2 (3)
cockroach_584,Resource Deadlock,Double locking,- (100),PDL (1),DL (1),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1)
cockroach_6181,Resource Deadlock,RWR deadlock,- (100),PDL (1),DL (7),PDL-4 (1),- (100),PDL-1 (1),PDL-1 (1),PDL-1 (1)
cockroach_7504,Resource Deadlock,AB-BA deadlock,- (100),- (100),DL (2),PDL-2 (2),- (100),PDL-2 (27),PDL-2 (6),PDL-2 (14)
cockroach_9935,Resource Deadlock,Double locking,- (100),PDL (1),DL (1),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1)
etcd_10492,Resource Deadlock,Double locking,GDL (1),TO/GDL (1),DL (1),GDL (1),GDL (1),GDL (1),GDL (1),GDL (1)
etcd_5509,Resource Deadlock,Double locking,- (100),- (100),TO/GDL (11),GDL (2),- (100),GDL (1),GDL (1),GDL (1)
etcd_6708,Resource Deadlock,Double locking,GDL (1),TO/GDL (1),DL (1),GDL (1),GDL (1),GDL (1),GDL (1),GDL (1)
etcd_6857,Communication Deadlock,Channel,- (100),PDL (2),- (100),PDL-1 (1),PDL-1 (1),PDL-1 (2),PDL-1 (6),PDL-1 (6)
etcd_6873,Mixed Deadlock,Channel & Lock,- (100),- (100),- (100),PDL-2 (1),PDL-2 (1),PDL-2 (2),PDL-2 (2),PDL-2 (2)
etcd_7443,Mixed Deadlock,Channel & Lock,GDL (3),- (100),- (100),CRASH (14),- (100),- (100),- (100),PDL-2 (12)
etcd_7902,Mixed Deadlock,Channel & Lock,- (100),PDL (1),- (100),PDL-4 (1),PDL-4 (1),PDL-4 (1),PDL-4 (1),PDL-4 (1)
grpc_1275,Communication Deadlock,Channel,- (100),PDL (1),- (100),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1)
grpc_1353,Mixed Deadlock,Channel & Lock,- (100),PDL (1),- (100),PDL-3 (1),CRASH (1),PDL-3 (1),PDL-3 (1),PDL-3 (1)
grpc_1424,Communication Deadlock,Channel,- (100),PDL (1),- (100),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1)
grpc_1460,Mixed Deadlock,Channel & Lock,- (100),PDL (1),- (100),PDL-2 (1),- (100),PDL-2 (1),PDL-2 (1),PDL-2 (1)
grpc_3017,Resource Deadlock,Double locking,GDL (1),TO/GDL (1),TO/GDL (1),GDL (1),- (100),GDL (2),GDL (1),GDL (1)
grpc_660,Communication Deadlock,Channel,- (100),PDL (1),- (100),PDL-1 (1),PDL-1 (1),PDL-3 (1),PDL-2 (1),PDL-2 (1)
grpc_795,Resource Deadlock,Double locking,GDL (1),TO/GDL (1),DL (1),GDL (1),GDL (1),GDL (1),GDL (1),GDL (1)
grpc_862,Communication Deadlock,Channel & Context,- (100),PDL (1),- (100),PDL-1 (1),PDL-1 (1),PDL-2 (1),PDL-2 (1),PDL-1 (1)
hugo_3251,Resource Deadlock,AB-BA deadlock,GDL (1),TO/GDL (1),DL (1),GDL (1),- (100),- (100),GDL (34),GDL (4)
hugo_5379,Resource Deadlock,Double locking,GDL (1),TO/GDL (1),TO/GDL (1),GDL (1),GDL (1),GDL (1),GDL (1),GDL (1)
istio_16224,Mixed Deadlock,Channel & Lock,GDL (1),TO/GDL (1),TO/GDL (1),GDL (1),GDL (1),GDL (1),GDL (1),PDL-1 (1)
istio_17860,Communication Deadlock,Channel,- (100),PDL (3),- (100),PDL-2 (3),PDL-2 (1),PDL-1 (1),PDL-1 (1),PDL-1 (2)
istio_18454,Communication Deadlock,Channel & Context,- (100),PDL (2),- (100),PDL-2 (5),PDL-1 (10),PDL-2 (5),PDL-1 (1),PDL-1 (5)
kubernetes_10182,Mixed Deadlock,Channel & Lock,- (100),PDL (1),- (100),PDL-2 (1),- (100),PDL-2 (44),PDL-2 (4),PDL-2 (1)
kubernetes_11298,Communication Deadlock,Channel & Condition Variable,GDL (6),TO/GDL (1),TO/GDL (72),GDL (12),- (100),- (100),- (100),- (100)
kubernetes_13135,Resource Deadlock,AB-BA deadlock,- (100),PDL (3),DL (1),PDL-2 (1),PDL-2 (13),PDL-2 (1),PDL-3 (2),PDL-3 (2)
kubernetes_1321,Mixed Deadlock,Channel & Lock,- (100),PDL (78),- (100),PDL-2 (9),- (100),PDL-2 (3),PDL-2 (1),PDL-2 (1)
kubernetes_25331,Communication Deadlock,Channel & Context,- (100),PDL (1),- (100),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1)
kubernetes_26980,Mixed Deadlock,Channel & Lock,GDL (2),TO/GDL (1),TO/GDL (7),GDL (1),- (100),GDL (7),GDL (4),GDL (1)
kubernetes_30872,Resource Deadlock,AB-BA deadlock,- (100),PDL (10),DL (2),PDL-3 (3),PDL-2 (1),PDL-3 (1),PDL-3 (2),PDL-3 (1)
kubernetes_38669,Communication Deadlock,Channel,- (100),PDL (1),- (100),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1)
kubernetes_5316,Communication Deadlock,Channel,- (100),PDL (1),- (100),PDL-1 (1),PDL-2 (1),PDL-1 (1),PDL-2 (1),PDL-1 (1)
kubernetes_58107,Resource Deadlock,RWR deadlock,- (100),- (100),- (100),PDL-1 (1),- (100),GDL (1),GDL (1),GDL (1)
kubernetes_62464,Resource Deadlock,RWR deadlock,- (100),- (100),DL (1),PDL-2 (2),- (100),- (100),PDL-2 (2),PDL-2 (4)
kubernetes_6632,Mixed Deadlock,Channel & Lock,- (100),PDL (1),- (100),PDL-2 (2),PDL-2 (1),PDL-2 (11),PDL-2 (1),PDL-2 (2)
kubernetes_70277,Communication Deadlock,Channel,GDL (1),TO/GDL (1),TO/GDL (1),GDL (1),GDL (1),GDL (1),GDL (1),GDL (1)
moby_17176,Resource Deadlock,Double locking,- (100),PDL (1),- (100),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1)
moby_21233,Communication Deadlock,Channel,- (100),PDL (1),- (100),PDL-2 (1),PDL-2 (1),PDL-2 (1),PDL-2 (1),PDL-2 (1)
moby_25384,Mixed Deadlock,Misuse WaitGroup,- (100),PDL (1),- (100),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1)
moby_27782,Communication Deadlock,Channel & Condition Variable,- (100),PDL (13),- (100),PDL-2 (2),- (100),- (100),PDL-2 (1),PDL-2 (2)
moby_28462,Mixed Deadlock,Channel & Lock,- (100),PDL (1),- (100),PDL-2 (1),- (100),PDL-2 (1),PDL-2 (1),PDL-2 (1)
moby_29733,Communication Deadlock,Condition Variable,GDL (1),TO/GDL (1),TO/GDL (1),GDL (1),GDL (1),GDL (1),GDL (1),GDL (1)
moby_30408,Communication Deadlock,Condition Variable,GDL (1),TO/GDL (1),TO/GDL (1),GDL (1),GDL (1),GDL (1),GDL (1),GDL (1)
moby_33293,Communication Deadlock,Channel,- (100),PDL (1),- (100),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (5),PDL-1 (2)
moby_33781,Communication Deadlock,Channel & Context,- (100),PDL (15),- (100),PDL-1 (3),- (100),PDL-2 (1),PDL-2 (2),PDL-3 (6)
moby_36114,Resource Deadlock,Double locking,- (100),PDL (1),DL (1),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1)
moby_4395,Communication Deadlock,Channel,- (100),PDL (1),- (100),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1)
moby_4951,Resource Deadlock,AB-BA deadlock,- (100),PDL (4),DL (3),PDL-2 (1),- (100),PDL-2 (53),PDL-2 (6),PDL-2 (3)
moby_7559,Resource Deadlock,Double locking,- (100),PDL (1),DL (1),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1)
serving_2137,Mixed Deadlock,Channel & Lock,- (100),- (100),- (100),- (100),- (100),- (100),- (100),GDL (9)
syncthing_4829,Resource Deadlock,Double locking,GDL (1),TO/GDL (1),DL (1),GDL (1),GDL (1),GDL (1),GDL (1),GDL (1)
syncthing_5795,Communication Deadlock,Channel,GDL (1),TO/GDL (1),TO/GDL (1),GDL (1),GDL (1),GDL (1),GDL (1),GDL (1)
-,-,-,20,58,34,65,44,60,64,66
