Cause,SubCause,Bug,BUILTINDL,GOLEAK,LOCKDL,GOAT_M,GOAT_U,GOAT_D1,GOAT_D2,GOAT_D3
Communication Deadlock,Channel & Context,cockroach_10790,- (100),PDL (1),- (100),PDL-2 (2),PDL-2 (1),PDL-2 (5),PDL-2 (6),PDL-2 (1)
Communication Deadlock,Channel & Context,cockroach_13197,- (100),PDL (1),- (100),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1)
Communication Deadlock,Channel & Context,cockroach_13755,- (100),PDL (1),- (100),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1)
Communication Deadlock,Channel & Context,cockroach_18101,- (100),PDL (1),- (100),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1)
Communication Deadlock,Channel,cockroach_2448,- (100),PDL (1),- (100),PDL-2 (1),PDL-2 (1),PDL-2 (1),PDL-2 (1),PDL-2 (1)
Communication Deadlock,Channel,cockroach_24808,GDL (1),TO/GDL (1),TO/GDL (1),GDL (1),GDL (1),GDL (1),GDL (1),GDL (1)
Communication Deadlock,Channel,cockroach_25456,GDL (1),TO/GDL (1),TO/GDL (1),GDL (1),GDL (1),GDL (1),GDL (1),GDL (1)
Communication Deadlock,Channel,cockroach_35073,GDL (1),TO/GDL (1),TO/GDL (1),GDL (1),GDL (1),GDL (1),GDL (1),GDL (1)
Communication Deadlock,Channel,cockroach_35931,GDL (1),TO/GDL (1),TO/GDL (1),GDL (1),GDL (1),GDL (1),GDL (1),GDL (1)
Communication Deadlock,Channel,etcd_6857,- (100),PDL (2),- (100),PDL-1 (1),PDL-1 (1),PDL-1 (2),PDL-1 (6),PDL-1 (6)
Communication Deadlock,Channel,grpc_1275,- (100),PDL (1),- (100),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1)
Communication Deadlock,Channel,grpc_1424,- (100),PDL (1),- (100),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1)
Communication Deadlock,Channel,grpc_660,- (100),PDL (1),- (100),PDL-1 (1),PDL-1 (1),PDL-3 (1),PDL-2 (1),PDL-2 (1)
Communication Deadlock,Channel & Context,grpc_862,- (100),PDL (1),- (100),PDL-1 (1),PDL-1 (1),PDL-2 (1),PDL-2 (1),PDL-1 (1)
Communication Deadlock,Channel,istio_17860,- (100),PDL (3),- (100),PDL-2 (3),PDL-2 (1),PDL-1 (1),PDL-1 (1),PDL-1 (2)
Communication Deadlock,Channel & Context,istio_18454,- (100),PDL (2),- (100),PDL-2 (5),PDL-1 (10),PDL-2 (5),PDL-1 (1),PDL-1 (5)
Communication Deadlock,Channel & Condition Variable,kubernetes_11298,GDL (6),TO/GDL (1),TO/GDL (72),GDL (12),- (100),- (100),- (100),- (100)
Communication Deadlock,Channel & Context,kubernetes_25331,- (100),PDL (1),- (100),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1)
Communication Deadlock,Channel,kubernetes_38669,- (100),PDL (1),- (100),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1)
Communication Deadlock,Channel,kubernetes_5316,- (100),PDL (1),- (100),PDL-1 (1),PDL-2 (1),PDL-1 (1),PDL-2 (1),PDL-1 (1)
Communication Deadlock,Channel,kubernetes_70277,GDL (1),TO/GDL (1),TO/GDL (1),GDL (1),GDL (1),GDL (1),GDL (1),GDL (1)
Communication Deadlock,Channel,moby_21233,- (100),PDL (1),- (100),PDL-2 (1),PDL-2 (1),PDL-2 (1),PDL-2 (1),PDL-2 (1)
Communication Deadlock,Channel & Condition Variable,moby_27782,- (100),PDL (13),- (100),PDL-2 (2),- (100),- (100),PDL-2 (1),PDL-2 (2)
Communication Deadlock,Condition Variable,moby_29733,GDL (1),TO/GDL (1),TO/GDL (1),GDL (1),GDL (1),GDL (1),GDL (1),GDL (1)
Communication Deadlock,Condition Variable,moby_30408,GDL (1),TO/GDL (1),TO/GDL (1),GDL (1),GDL (1),GDL (1),GDL (1),GDL (1)
Communication Deadlock,Channel,moby_33293,- (100),PDL (1),- (100),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (5),PDL-1 (2)
Communication Deadlock,Channel & Context,moby_33781,- (100),PDL (15),- (100),PDL-1 (3),- (100),PDL-2 (1),PDL-2 (2),PDL-3 (6)
Communication Deadlock,Channel,moby_4395,- (100),PDL (1),- (100),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1)
Communication Deadlock,Channel,syncthing_5795,GDL (1),TO/GDL (1),TO/GDL (1),GDL (1),GDL (1),GDL (1),GDL (1),GDL (1)
Mixed Deadlock,Channel & WaitGroup,cockroach_1055,GDL (1),TO/GDL (1),TO/GDL (1),GDL (1),- (100),GDL (8),GDL (3),GDL (1)
Mixed Deadlock,Channel & WaitGroup,cockroach_1462,- (100),TO/GDL (35),TO/GDL (4),GDL (11),- (100),GDL (6),GDL (6),GDL (1)
Mixed Deadlock,Channel & Lock,etcd_6873,- (100),- (100),- (100),PDL-2 (1),PDL-2 (1),PDL-2 (2),PDL-2 (2),PDL-2 (2)
Mixed Deadlock,Channel & Lock,etcd_7443,GDL (3),- (100),- (100),CRASH (14),- (100),- (100),- (100),PDL-2 (12)
Mixed Deadlock,Channel & Lock,etcd_7902,- (100),PDL (1),- (100),PDL-4 (1),PDL-4 (1),PDL-4 (1),PDL-4 (1),PDL-4 (1)
Mixed Deadlock,Channel & Lock,grpc_1353,- (100),PDL (1),- (100),PDL-3 (1),CRASH (1),PDL-3 (1),PDL-3 (1),PDL-3 (1)
Mixed Deadlock,Channel & Lock,grpc_1460,- (100),PDL (1),- (100),PDL-2 (1),- (100),PDL-2 (1),PDL-2 (1),PDL-2 (1)
Mixed Deadlock,Channel & Lock,istio_16224,GDL (1),TO/GDL (1),TO/GDL (1),GDL (1),GDL (1),GDL (1),GDL (1),PDL-1 (1)
Mixed Deadlock,Channel & Lock,kubernetes_10182,- (100),PDL (1),- (100),PDL-2 (1),- (100),PDL-2 (44),PDL-2 (4),PDL-2 (1)
Mixed Deadlock,Channel & Lock,kubernetes_1321,- (100),PDL (78),- (100),PDL-2 (9),- (100),PDL-2 (3),PDL-2 (1),PDL-2 (1)
Mixed Deadlock,Channel & Lock,kubernetes_26980,GDL (2),TO/GDL (1),TO/GDL (7),GDL (1),- (100),GDL (7),GDL (4),GDL (1)
