Experiment,Input,#GRTN,#CHNL,#EVENTS,Trace Size(B),OVERHEAD
primeseive_main_ET,1,10,0,85,2746,1.1211151736745888
primeseive_main_ECT,1,10,4,112,3697,1.1316270566727606
primeseive_main_ET,2,11,0,114,2894,1.0820833333333333
primeseive_main_ECT,2,11,5,161,4113,1.0379166666666666
primeseive_main_ET,4,13,0,214,3290,1.1127490039840637
primeseive_main_ECT,4,13,7,355,5203,1.1824701195219123
primeseive_main_ET,16,25,0,1503,8079,1.1858805858054826
primeseive_main_ECT,16,25,19,2516,18641,1.2636124671423208
primeseive_main_ET,64,73,0,11750,46640,1.1073216520650813
primeseive_main_ECT,64,73,67,21336,144287,1.425531914893617
primeseive_main_ET,256,264.97,0,145036,572488,3.0225284919162476
primeseive_main_ECT,256,264,259,283339,2080260,8.651205936920224
primeseive_main_ET,512,520.95,0,552374,2215559,6.694260276567531
primeseive_main_ECT,512,520,515,1116021,8527700,21.780640272778935
primeseive_main_ET,1024,1032.83,0,2157613,8644730,10.898116632629906
primeseive_main_ECT,1024,1032,1027,4420998,34555819,35.838287572800844
primeseive_main_ET,2048,2056.58,0,8521690,34112878,12.038899779465815
primeseive_main_ECT,2048,2056,2051,17594298,144243389,39.000347137139585
